Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
529042.0227058,-750000.125,92231.171875,-750000.125,-235128.203125,92578.0703125,92678.7421875,-750000.125,-750000.125,-0.356689453125,0.93115234375,-0.087158203125,0.7934569716453552,2.655029058456421,-0.1831054538488388,73.33333587646484,833066.0,1.0
529042.0305715,-750000.125,92132.640625,-750000.125,-234686.984375,92491.4296875,92590.765625,-750000.125,-750000.125,-0.356689453125,0.930419921875,-0.0859375,0.6713866591453552,2.593993902206421,-0.0610351525247097,73.33333587646484,833067.0,1.0
529042.033639,-750000.125,92028.3046875,-750000.125,-234339.984375,92397.828125,92496.3515625,-750000.125,-750000.125,-0.354736328125,0.93310546875,-0.0869140625,0.4577636420726776,2.471923589706421,0.1220703050494194,73.33333587646484,833068.0,1.0
529042.0336832,-750000.125,92100.90625,-750000.125,-234573.875,92464.25,92564.03125,-750000.125,-750000.125,-0.35400390625,0.933349609375,-0.08544921875,0.3356933295726776,2.441406011581421,0.2441406100988388,73.33333587646484,833069.0,1.0
529042.0357968,-750000.125,92308.328125,-750000.125,-235074.828125,92657.8203125,92758.7578125,-750000.125,-750000.125,-0.353271484375,0.930419921875,-0.082763671875,0.2136230319738388,2.380370855331421,0.3356933295726776,73.33333587646484,833070.0,1.0
529042.0443266,-750000.125,92414.8125,-750000.125,-235160.21875,92761.625,92862.6484375,-750000.125,-750000.125,-0.3525390625,0.93212890625,-0.081298828125,0.2136230319738388,2.288818120956421,0.4272460639476776,73.33333587646484,833071.0,1.0
529042.0476484,-750000.125,92316.1953125,-750000.125,-234719.703125,92674.8984375,92774.5859375,-750000.125,-750000.125,-0.35302734375,0.9345703125,-0.08349609375,0.1831054538488388,2.288818120956421,0.4577636420726776,73.33333587646484,833072.0,1.0
529042.0476969,-750000.125,92209.625,-750000.125,-234370.84375,92579.40625,92677.9375,-750000.125,-750000.125,-0.351806640625,0.93408203125,-0.085693359375,0.1831054538488388,2.258300542831421,0.4577636420726776,73.33333587646484,833073.0,1.0
529042.0558729,-750000.125,92282.578125,-750000.125,-234605.0,92646.015625,92745.4375,-750000.125,-750000.125,-0.350830078125,0.93359375,-0.084228515625,0.3051757514476776,2.258300542831421,0.3051757514476776,73.33333587646484,833074.0,1.0
529042.0581269,-750000.125,92490.984375,-750000.125,-235107.1875,92840.1171875,92941.5078125,-750000.125,-750000.125,-0.3505859375,0.9326171875,-0.084228515625,0.4577636420726776,2.349853277206421,0.1525878757238388,73.33333587646484,833075.0,1.0
529042.0606159,-750000.125,92599.703125,-750000.125,-235194.640625,92945.890625,93047.2734375,-750000.125,-750000.125,-0.348388671875,0.931396484375,-0.083251953125,0.6103515028953552,2.502441167831421,0.1220703050494194,73.33333587646484,833076.0,1.0
529042.0695866,-750000.125,92499.8359375,-750000.125,-234752.96875,92858.359375,92958.3203125,-750000.125,-750000.125,-0.348876953125,0.931396484375,-0.081298828125,0.7324218153953552,2.563476324081421,-0.1220703050494194,73.33333587646484,833077.0,1.0
529042.0727424,-750000.125,92394.609375,-750000.125,-234404.453125,92763.859375,92863.2734375,-750000.125,-750000.125,-0.3505859375,0.9306640625,-0.08251953125,0.7934569716453552,2.624511480331421,-0.2441406100988388,73.33333587646484,833078.0,1.0
529042.0728014,-750000.125,92468.3671875,-750000.125,-234638.96875,92831.625,92931.765625,-750000.125,-750000.125,-0.35107421875,0.929931640625,-0.084228515625,1.0070799589157104,2.593993902206421,-0.4577636420726776,73.33333587646484,833079.0,1.0
529042.0857837,-750000.125,92675.609375,-750000.125,-235138.84375,93024.921875,93126.671875,-750000.125,-750000.125,-0.35498046875,0.92919921875,-0.082763671875,1.0375975370407104,2.655029058456421,-0.6103515028953552,73.33333587646484,833080.0,1.0
529042.0890014,-750000.125,92783.078125,-750000.125,-235224.046875,93129.9765625,93231.3671875,-750000.125,-750000.125,-0.353271484375,0.931396484375,-0.081787109375,1.1596678495407104,2.807616949081421,-0.8544921278953552,73.33333587646484,833081.0,1.0
529042.0890512,-750000.125,92686.6953125,-750000.125,-234784.34375,93045.4921875,93145.4453125,-750000.125,-750000.125,-0.352783203125,0.9306640625,-0.087158203125,1.1291502714157104,2.868652105331421,-0.9155272841453552,73.33333587646484,833082.0,1.0
529042.0904199,-750000.125,92583.2578125,-750000.125,-234436.46875,92952.6875,93051.75,-750000.125,-750000.125,-0.355224609375,0.93212890625,-0.08740234375,1.1596678495407104,2.746581792831421,-0.8850097060203552,73.33333587646484,833083.0,1.0
529042.0980698,-750000.125,92656.9296875,-750000.125,-234669.09375,93020.1875,93120.140625,-750000.125,-750000.125,-0.357177734375,0.932861328125,-0.08642578125,1.1901854276657104,2.716064214706421,-0.8850097060203552,73.33333587646484,833084.0,1.0
529042.1009212,-750000.125,92865.6875,-750000.125,-235170.578125,93215.1796875,93316.75,-750000.125,-750000.125,-0.35693359375,0.93212890625,-0.087158203125,1.0986326932907104,2.716064214706421,-0.7019042372703552,73.33333587646484,833085.0,1.0
529042.1031121,-750000.125,92973.515625,-750000.125,-235255.875,93319.96875,93421.4453125,-750000.125,-750000.125,-0.3564453125,0.93359375,-0.0830078125,0.9765624403953552,2.624511480331421,-0.4577636420726776,73.33333587646484,833086.0,1.0
529042.1068468,-750000.125,92875.796875,-750000.125,-234815.546875,93234.3125,93334.2734375,-750000.125,-750000.125,-0.35498046875,0.9345703125,-0.0849609375,0.8544921278953552,2.532958745956421,-0.2441406100988388,73.33333587646484,833087.0,1.0
529042.113267,-750000.125,92770.828125,-750000.125,-234467.3125,93139.7265625,93239.3203125,-750000.125,-750000.125,-0.35595703125,0.934326171875,-0.082275390625,0.6408690810203552,2.532958745956421,-0.0610351525247097,73.33333587646484,833088.0,1.0
529042.1176886,-750000.125,92842.359375,-750000.125,-234699.671875,93205.3515625,93306.109375,-750000.125,-750000.125,-0.35595703125,0.93408203125,-0.0869140625,0.5798339247703552,2.441406011581421,0.0915527269244194,73.33333587646484,833089.0,1.0
529042.117739,-750000.125,93049.6875,-750000.125,-235201.15625,93399.2734375,93500.484375,-750000.125,-750000.125,-0.35498046875,0.9326171875,-0.0869140625,0.4272460639476776,2.410888433456421,0.3967284858226776,73.33333587646484,833090.0,1.0
529042.1255507,-750000.125,93157.0703125,-750000.125,-235288.6875,93503.875,93605.0,-750000.125,-750000.125,-0.353759765625,0.93310546875,-0.087158203125,0.2746581733226776,2.349853277206421,0.4882812201976776,73.33333587646484,833091.0,1.0
529042.1326576,-750000.125,93058.6328125,-750000.125,-234850.140625,93417.2421875,93517.203125,-750000.125,-750000.125,-0.3544921875,0.931396484375,-0.085205078125,0.2136230319738388,2.227782964706421,0.7324218153953552,73.33333587646484,833092.0,1.0
529042.1327098,-750000.125,92953.21875,-750000.125,-234502.359375,93322.2890625,93421.4453125,-750000.125,-750000.125,-0.35205078125,0.931640625,-0.086669921875,0.1831054538488388,2.166747808456421,0.6713866591453552,73.33333587646484,833093.0,1.0
529042.1386255,-750000.125,93024.03125,-750000.125,-234733.921875,93387.109375,93487.3359375,-750000.125,-750000.125,-0.350830078125,0.930908203125,-0.08447265625,0.2441406100988388,2.166747808456421,0.5493163466453552,73.33333587646484,833094.0,1.0
529042.1386931,-750000.125,93230.203125,-750000.125,-235234.328125,93579.4296875,93681.2578125,-750000.125,-750000.125,-0.350341796875,0.931640625,-0.083740234375,0.2441406100988388,2.288818120956421,0.4882812201976776,73.33333587646484,833095.0,1.0
529042.1406037,-750000.125,93338.03125,-750000.125,-235322.21875,93684.3046875,93785.78125,-750000.125,-750000.125,-0.35009765625,0.931396484375,-0.083984375,0.3662109076976776,2.410888433456421,0.2746581733226776,73.33333587646484,833096.0,1.0
529042.1496843,-750000.125,93239.5,-750000.125,-234882.0625,93598.0234375,93697.625,-750000.125,-750000.125,-0.349365234375,0.930419921875,-0.08056640625,0.5493163466453552,2.441406011581421,0.0610351525247097,73.33333587646484,833097.0,1.0
529042.156488,-750000.125,93134.359375,-750000.125,-234533.296875,93503.5234375,93602.4921875,-750000.125,-750000.125,-0.34814453125,0.931640625,-0.080810546875,0.7324218153953552,2.441406011581421,-0.1831054538488388,73.33333587646484,833098.0,1.0
529042.1565366,-750000.125,93207.9375,-750000.125,-234766.1875,93570.9296875,93671.0703125,-750000.125,-750000.125,-0.349609375,0.9306640625,-0.080322265625,0.8850097060203552,2.563476324081421,-0.4577636420726776,73.33333587646484,833099.0,1.0
529042.1701275,-750000.125,93414.6484375,-750000.125,-235266.15625,93764.5859375,93865.6171875,-750000.125,-750000.125,-0.351806640625,0.9296875,-0.08154296875,1.0375975370407104,2.685546636581421,-0.6713866591453552,73.33333587646484,833100.0,1.0
529042.170176,-750000.125,93523.1875,-750000.125,-235353.59375,93869.640625,93970.671875,-750000.125,-750000.125,-0.352294921875,0.927978515625,-0.0810546875,1.1901854276657104,2.777099370956421,-0.7019042372703552,73.33333587646484,833101.0,1.0
529042.1723955,-750000.125,93426.6328125,-750000.125,-234914.703125,93784.6171875,93884.75,-750000.125,-750000.125,-0.353759765625,0.928955078125,-0.080810546875,1.2512205839157104,2.716064214706421,-0.6713866591453552,73.33333587646484,833102.0,1.0
